/* Table of DAC offset/Gain correction per card */
/* pcb_id: gives the unique board id
/* ch[0,1]corr_x_y: for each channel gives the DAC offset/gain correction to apply for the 9 offset/gain valid combination:0/-22db 0/-16db 0/-10db 0/-4db 0/-2db 0/8db 0/14db 0/20db 2.5/14db
/* pcb_id ch0_0_-22 ch0_0_-16 ch0_0_-10 ch0_0_-4 ch0_0_2 ch0_0_8 ch0_0_14 ch0_0_20 ch0_2.5_14 ch1_0_-22 ch1_0_-16 ch1_0_-10 ch1_0_-4 ch1_0_2 ch1_0_8 ch1_0_14 ch1_0_20 ch1_2.5_14
0x8b000000239fc822 0x055f8000 0x02af8000 0x016f8000 0x00d28000 0x00738000 0x003c8000 0x001d8000 0x000f8000 0x01548000 0x04658000 0x02af8000 0x01c58000 0x01348000 0x00e08000 0x00b68000 0x00988000 0x00878000 0x01f48000
0xf500000023a05722 0x04458000 0x02af8000 0x019e8000 0x01198000 0x00d68000 0x00ae8000 0x00908000 0x00848000 0x01f98000 0x061a8000 0x034b8000 0x01ec8000 0x012c8000 0x00ca8000 0x00968000 0x00708000 0x005f8000 0x01c18000
0x9800000023b70522 0x05018000 0x02ce8000 0x01cc8000 0x01288000 0x00c88000 0x009e8000 0x00778000 0x006a8000 0x01cd8000 0x055f8000 0x033c8000 0x020b8000 0x01488000 0x00f08000 0x00bf8000 0x00978000 0x00898000 0x01eb8000
0x2c00000023c3c622 0x036b8000 0x02228000 0x01678000 0x00e68000 0x00a88000 0x00818000 0x006c8000 0x005f8000 0x020d8000 0x053f8000 0x031c8000 0x01fb8000 0x01538000 0x01058000 0x00d98000 0x00bc8000 0x00a98000 0x02478000
0x9500000023a21e22 0x053f8000 0x02ce8000 0x01ad8000 0x01118000 0x00bc8000 0x00888000 0x006d8000 0x005d8000 0x01f88000 0x04848000 0x029f8000 0x01968000 0x01218000 0x00da8000 0x00b08000 0x00978000 0x00888000 0x01fa8000
0x370000002b416822 0x04a38000 0x02bf8000 0x01ad8000 0x01098000 0x00b88000 0x008a8000 0x006c8000 0x005e8000 0x02048000 0x04078000 0x02428000 0x016f8000 0x00fa8000 0x00a88000 0x00858000 0x006e8000 0x005e8000 0x01d08000
0xa20000002b47a122 0x04268000 0x02808000 0x017e8000 0x00f68000 0x00b68000 0x008b8000 0x006f8000 0x00658000 0x02118000 0x04458000 0x02618000 0x019e8000 0x00fd8000 0x00bc8000 0x00938000 0x00798000 0x006d8000 0x01b58000
0x7b0000002b4ab322 0x02908000 0x01868000 0x01018000 0x00c38000 0x008c8000 0x00758000 0x00628000 0x00578000 0x01db8000 0x038a8000 0x02038000 0x01218000 0x00cb8000 0x00808000 0x005a8000 0x00408000 0x00358000 0x01a78000
0xe40000002b4b6a22 0x061a8000 0x036b8000 0x02138000 0x016f8000 0x01098000 0x00d28000 0x00ac8000 0x009b8000 0x026c8000 0x02908000 0x01b58000 0x01388000 0x00c38000 0x00a88000 0x008b8000 0x00738000 0x00698000 0x02188000
0x270000002b3ee322 0x03a98000 0x02328000 0x016f8000 0x00e68000 0x009a8000 0x007d8000 0x005d8000 0x00538000 0x01e58000 0x04e28000 0x02ce8000 0x01d48000 0x01308000 0x00ea8000 0x00b78000 0x009b8000 0x008d8000 0x01c48000
0x590000002b424122 0x04848000 0x02ce8000 0x01b58000 0x01118000 0x00c88000 0x009a8000 0x007e8000 0x006e8000 0x026c8000 0x04078000 0x02328000 0x017e8000 0x00da8000 0x00b88000 0x00828000 0x00688000 0x005b8000 0x01e18000
0x510000002b431422 0x01778000 0x00da8000 0x00a48000 0x00798000 0x00638000 0x00508000 0x003e8000 0x00398000 0x01df8000 0x01778000 0x00fa8000 0x00c38000 0x00908000 0x006f8000 0x005d8000 0x00508000 0x00498000 0x022d8000
0xc60000002b3bc422 0x04658000 0x02808000 0x016f8000 0x00e68000 0x00988000 0x00738000 0x00588000 0x00488000 0x018b8000 0x02af8000 0x01c58000 0x01408000 0x00f68000 0x00d68000 0x00c08000 0x00ab8000 0x00a08000 0x02228000
0x4e00000023aa6222 0x04458000 0x02908000 0x019e8000 0x01248000 0x00cc8000 0x00a78000 0x008e8000 0x007d8000 0x020b8000 0x04c28000 0x02ee8000 0x01bd8000 0x01288000 0x00da8000 0x00aa8000 0x00918000 0x007f8000 0x025a8000
0x5900000023bfbe22 0x06978000 0x03998000 0x02138000 0x01448000 0x00e48000 0x00a28000 0x007e8000 0x006e8000 0x01cc8000 0x07148000 0x04078000 0x02618000 0x017e8000 0x00ff8000 0x00c28000 0x00968000 0x00858000 0x02118000
0xe80000002b4c4f22 0x030d8000 0x01b58000 0x01118000 0x00a78000 0x00778000 0x00608000 0x004a8000 0x003f8000 0x019f8000 0x04658000 0x02228000 0x014f8000 0x00ea8000 0x00a48000 0x007b8000 0x00608000 0x00538000 0x01b78000
0x980000002b3d2122 0x057e8000 0x033c8000 0x02138000 0x01738000 0x011b8000 0x00f78000 0x00d28000 0x00bd8000 0x02558000 0x036b8000 0x02038000 0x014f8000 0x00de8000 0x009c8000 0x00798000 0x00628000 0x00528000 0x01f38000
0x2b0000002b38df22 0x02518000 0x01488000 0x01018000 0x00bf8000 0x00ac8000 0x008f8000 0x007b8000 0x00738000 0x01ff8000 0x04078000 0x02618000 0x018e8000 0x00fd8000 0x00aa8000 0x00808000 0x00678000 0x005a8000 0x01f78000
0x570000002b465c22 0x059d8000 0x031c8000 0x01ec8000 0x011d8000 0x00c68000 0x00928000 0x00728000 0x00608000 0x02078000 0x02908000 0x01968000 0x01198000 0x00bb8000 0x00988000 0x007c8000 0x00648000 0x005c8000 0x01a98000
0xcb0000002b452122 0x03a98000 0x02328000 0x01678000 0x00f68000 0x00be8000 0x00a08000 0x00848000 0x00788000 0x02038000 0x06398000 0x036b8000 0x021b8000 0x01408000 0x00d68000 0x009b8000 0x00768000 0x00678000 0x01fb8000
0xfb0000002b4b0e22 0x04078000 0x02428000 0x01778000 0x00e68000 0x00ac8000 0x007f8000 0x00678000 0x00598000 0x01db8000 0x02af8000 0x01868000 0x01218000 0x00a08000 0x007b8000 0x00538000 0x00418000 0x00388000 0x01ac8000
0x8c0000002b313322 0x01d48000 0x01288000 0x00da8000 0x00b78000 0x008e8000 0x007d8000 0x006e8000 0x00668000 0x02248000 0x057e8000 0x02fd8000 0x01cc8000 0x013c8000 0x00dc8000 0x00b08000 0x008e8000 0x007e8000 0x01ed8000
0xc90000002b3f5c22 0x02328000 0x01778000 0x01098000 0x00bf8000 0x00928000 0x007f8000 0x006d8000 0x00638000 0x01d38000 0x01778000 0x01098000 0x00d28000 0x00988000 0x00808000 0x006e8000 0x00628000 0x005a8000 0x02228000
0x330000002b4de222 0x06d68000 0x03c88000 0x02598000 0x018a8000 0x01258000 0x00ec8000 0x00c48000 0x00b28000 0x027c8000 0x036b8000 0x01f48000 0x014f8000 0x00ea8000 0x00bc8000 0x00a88000 0x00898000 0x007d8000 0x01f88000
0x810000002b35b822 0x02ce8000 0x01a58000 0x014f8000 0x00fd8000 0x00d88000 0x00b98000 0x00a48000 0x00978000 0x025d8000 0x04268000 0x02328000 0x01678000 0x00d68000 0x009c8000 0x006f8000 0x00588000 0x004c8000 0x01a18000
0x810000002b3a3f22 0x01778000 0x01198000 0x00cb8000 0x00908000 0x005f8000 0x00498000 0x00368000 0x00308000 0x01c68000 0x01778000 0x00ea8000 0x00a48000 0x00798000 0x00558000 0x003f8000 0x00338000 0x002d8000 0x01768000
0x600000002b3b7c22 0x02518000 0x01778000 0x01288000 0x00de8000 0x00b88000 0x00a58000 0x00918000 0x00878000 0x02278000 0x06788000 0x037a8000 0x021b8000 0x01488000 0x00da8000 0x00a38000 0x00808000 0x00718000 0x01e38000
0xf70000002b484f22 0x01198000 0x00ea8000 0x008c8000 0x00848000 0x006d8000 0x005b8000 0x004a8000 0x00458000 0x02218000 0x04848000 0x02808000 0x018e8000 0x00f28000 0x00a48000 0x00788000 0x005a8000 0x004f8000 0x01c68000
0x0600000023a3ad22 0x06598000 0x03b98000 0x02598000 0x01968000 0x013b8000 0x01028000 0x00d98000 0x00c88000 0x02368000 0x04268000 0x02808000 0x017e8000 0x01058000 0x00c48000 0x009b8000 0x007f8000 0x00718000 0x01978000
